timestamp	path_msa	n_seqs	n_cols	n_max_blocks	t_max_blocks
Fri Oct 28 15:53:29 2022	/home/disco/Data/pandora-msas/msas/Cluster_14636.fa	2	30	2	0.18221759796142578	
Fri Oct 28 15:53:29 2022	/home/disco/Data/pandora-msas/msas/Cluster_14629.fa	3	30	7	0.18395709991455078	
Fri Oct 28 15:53:29 2022	/home/disco/Data/pandora-msas/msas/Cluster_14641.fa	5	30	9	0.25450801849365234	
Fri Oct 28 15:53:30 2022	/home/disco/Data/pandora-msas/msas/Cluster_14653.fa	5	30	2	0.1523728370666504	
Fri Oct 28 15:53:30 2022	/home/disco/Data/pandora-msas/msas/Cluster_14631.fa	10	30	2	0.12871217727661133	
Fri Oct 28 15:53:30 2022	/home/disco/Data/pandora-msas/msas/Cluster_14630.fa	10	30	1	0.14636445045471191	
Fri Oct 28 15:53:30 2022	/home/disco/Data/pandora-msas/msas/Cluster_14654.fa	12	30	1	0.14090204238891602	
Fri Oct 28 15:53:30 2022	/home/disco/Data/pandora-msas/msas/Cluster_14625.fa	18	30	4	0.18574190139770508	
Fri Oct 28 15:53:30 2022	/home/disco/Data/pandora-msas/msas/Cluster_14635.fa	19	30	2	0.14619970321655273	
Fri Oct 28 15:53:31 2022	/home/disco/Data/pandora-msas/msas/Cluster_14599.fa	58	30	4	0.2937605381011963	
Fri Oct 28 15:53:31 2022	/home/disco/Data/pandora-msas/msas/Cluster_14607.fa	80	30	5	0.22592616081237793	
Fri Oct 28 15:53:31 2022	/home/disco/Data/pandora-msas/msas/Cluster_14618.fa	96	30	13	0.42154645919799805	
Fri Oct 28 15:53:32 2022	/home/disco/Data/pandora-msas/msas/Cluster_14610.fa	104	30	7	0.21265316009521484	
Fri Oct 28 15:53:32 2022	/home/disco/Data/pandora-msas/msas/Cluster_14601.fa	117	30	5	0.20813941955566406	
Fri Oct 28 15:53:32 2022	/home/disco/Data/pandora-msas/msas/Cluster_14602.fa	142	30	4	0.2442641258239746	
Fri Oct 28 15:53:32 2022	/home/disco/Data/pandora-msas/msas/Cluster_14608.fa	146	30	2	0.144639253616333	
Fri Oct 28 15:53:32 2022	/home/disco/Data/pandora-msas/msas/Cluster_14609.fa	146	30	12	0.30133056640625	
