	timestamp	path_msa	n_seqs	n_unique_seqs	n_cols
98	Thu Oct 27 18:23:41 2022	/home/disco/Data/pandora-msas/msas/Cluster_14656.fa	1	1	30
402	Thu Oct 27 18:23:41 2022	/home/disco/Data/pandora-msas/msas/Cluster_14698.fa	1	1	30
847	Thu Oct 27 18:23:42 2022	/home/disco/Data/pandora-msas/msas/Cluster_14690.fa	1	1	30
1137	Thu Oct 27 18:23:42 2022	/home/disco/Data/pandora-msas/msas/Cluster_14682.fa	1	1	30
1264	Thu Oct 27 18:23:43 2022	/home/disco/Data/pandora-msas/msas/Cluster_14688.fa	1	1	30
2363	Thu Oct 27 18:23:44 2022	/home/disco/Data/pandora-msas/msas/Cluster_14648.fa	1	1	30
2730	Thu Oct 27 18:23:44 2022	/home/disco/Data/pandora-msas/msas/Cluster_14661.fa	1	1	30
2836	Thu Oct 27 18:23:44 2022	/home/disco/Data/pandora-msas/msas/Cluster_14664.fa	1	1	30
4486	Thu Oct 27 18:23:46 2022	/home/disco/Data/pandora-msas/msas/Cluster_14689.fa	1	1	30
4790	Thu Oct 27 18:23:47 2022	/home/disco/Data/pandora-msas/msas/Cluster_14657.fa	1	1	30
6493	Thu Oct 27 18:23:49 2022	/home/disco/Data/pandora-msas/msas/Cluster_14686.fa	1	1	30
6764	Thu Oct 27 18:23:49 2022	/home/disco/Data/pandora-msas/msas/Cluster_14687.fa	1	1	30
7430	Thu Oct 27 18:23:50 2022	/home/disco/Data/pandora-msas/msas/Cluster_14671.fa	1	1	30
8749	Thu Oct 27 18:23:52 2022	/home/disco/Data/pandora-msas/msas/Cluster_14650.fa	1	1	30
9450	Thu Oct 27 18:23:53 2022	/home/disco/Data/pandora-msas/msas/Cluster_14696.fa	1	1	30
10416	Thu Oct 27 18:23:54 2022	/home/disco/Data/pandora-msas/msas/Cluster_14675.fa	1	1	30
10754	Thu Oct 27 18:23:54 2022	/home/disco/Data/pandora-msas/msas/Cluster_14667.fa	1	1	30
11196	Thu Oct 27 18:23:55 2022	/home/disco/Data/pandora-msas/msas/Cluster_14673.fa	1	1	30
11305	Thu Oct 27 18:23:55 2022	/home/disco/Data/pandora-msas/msas/Cluster_14684.fa	1	1	30
11459	Thu Oct 27 18:23:55 2022	/home/disco/Data/pandora-msas/msas/Cluster_14692.fa	1	1	30
12552	Thu Oct 27 18:23:56 2022	/home/disco/Data/pandora-msas/msas/Cluster_14680.fa	1	1	30
13928	Thu Oct 27 18:23:58 2022	/home/disco/Data/pandora-msas/msas/Cluster_14639.fa	1	1	30
14228	Thu Oct 27 18:23:58 2022	/home/disco/Data/pandora-msas/msas/Cluster_14693.fa	1	1	30
14466	Thu Oct 27 18:23:59 2022	/home/disco/Data/pandora-msas/msas/Cluster_14652.fa	1	1	30
18981	Thu Oct 27 18:24:04 2022	/home/disco/Data/pandora-msas/msas/Cluster_14665.fa	1	1	30
21068	Thu Oct 27 18:24:07 2022	/home/disco/Data/pandora-msas/msas/Cluster_14685.fa	1	1	30
21628	Thu Oct 27 18:24:07 2022	/home/disco/Data/pandora-msas/msas/Cluster_14683.fa	1	1	30
